device,baseline_hour,baseline_price_eur_kwh,energy_kwh,baseline_cost_eur,recommended_hour,price_eur_kwh,estimated_cost_eur,date,savings_eur,savings_pct
Lavadora,20,0.0684,1.0,0.0684,12,0.0542,0.0542,2023-01-01,0.014200000000000004,20.76023391812866
Lavavajillas,20,0.0684,1.3,0.0889,13,0.0554,0.072,2023-01-01,0.016900000000000012,19.010123734533195
Secadora,20,0.0684,2.0,0.1368,14,0.0557,0.1113,2023-01-01,0.02550000000000001,18.640350877192986
Termo eléctrico,20,0.0684,2.5,0.171,0,0.0414,0.1036,2023-01-01,0.06740000000000002,39.41520467836258
Lavadora,20,0.2741,1.0,0.2741,7,0.1616,0.1616,2023-01-02,0.11250000000000002,41.043414812112374
Lavavajillas,20,0.2741,1.3,0.3563,23,0.1963,0.2552,2023-01-02,0.10110000000000002,28.374964917204608
Secadora,20,0.2741,2.0,0.5482,15,0.1984,0.3967,2023-01-02,0.15150000000000002,27.63589930682233
Termo eléctrico,20,0.2741,2.5,0.6852,1,0.1044,0.2611,2023-01-02,0.42410000000000003,61.89433741973147
Lavadora,20,0.2767,1.0,0.2767,15,0.1907,0.1907,2023-01-03,0.086,31.080592699674735
Lavavajillas,20,0.2767,1.3,0.3597,23,0.1917,0.2492,2023-01-03,0.11050000000000001,30.720044481512375
Secadora,20,0.2767,2.0,0.5534,14,0.1963,0.3925,2023-01-03,0.1609,29.07481026382363
Termo eléctrico,20,0.2767,2.5,0.6918,4,0.1757,0.4394,2023-01-03,0.25239999999999996,36.484533102052616
Lavadora,20,0.278,1.0,0.278,7,0.1579,0.1579,2023-01-04,0.12010000000000001,43.201438848920866
Lavavajillas,20,0.278,1.3,0.3614,15,0.1757,0.2284,2023-01-04,0.133,36.80132816823464
Secadora,20,0.278,2.0,0.556,14,0.1766,0.3532,2023-01-04,0.20280000000000004,36.4748201438849
Termo eléctrico,20,0.278,2.5,0.695,4,0.1427,0.3568,2023-01-04,0.33819999999999995,48.661870503597115
Lavadora,20,0.298,1.0,0.298,15,0.159,0.159,2023-01-05,0.13899999999999998,46.644295302013425
Lavavajillas,20,0.298,1.3,0.3874,14,0.161,0.2093,2023-01-05,0.1781,45.97315436241611
Secadora,20,0.298,2.0,0.596,16,0.1643,0.3286,2023-01-05,0.26739999999999997,44.86577181208054
Termo eléctrico,20,0.298,2.5,0.745,4,0.1184,0.296,2023-01-05,0.449,60.26845637583893
Lavadora,20,0.1861,1.0,0.1861,15,0.1087,0.1087,2023-01-06,0.07739999999999998,41.59054271896829
Lavavajillas,20,0.1861,1.3,0.2419,14,0.1196,0.1555,2023-01-06,0.0864,35.71723852831749
Secadora,20,0.1861,2.0,0.3722,16,0.1238,0.2476,2023-01-06,0.12459999999999999,33.476625470177325
Termo eléctrico,20,0.1861,2.5,0.4653,23,0.1294,0.3234,2023-01-06,0.14189999999999997,30.496453900709213
Lavadora,20,0.082,1.0,0.082,15,0.0326,0.0326,2023-01-07,0.049400000000000006,60.243902439024396
Lavavajillas,20,0.082,1.3,0.1066,14,0.0329,0.0428,2023-01-07,0.0638,59.849906191369605
Secadora,20,0.082,2.0,0.1639,13,0.0359,0.0717,2023-01-07,0.09219999999999999,56.25381330079316
Termo eléctrico,20,0.082,2.5,0.2049,12,0.0388,0.0969,2023-01-07,0.108,52.7086383601757
Lavadora,20,0.0675,1.0,0.0675,15,0.0333,0.0333,2023-01-08,0.0342,50.66666666666666
Lavavajillas,20,0.0675,1.3,0.0878,14,0.0333,0.0433,2023-01-08,0.044500000000000005,50.68337129840547
Secadora,20,0.0675,2.0,0.135,13,0.0341,0.0682,2023-01-08,0.06680000000000001,49.48148148148149
Termo eléctrico,20,0.0675,2.5,0.1688,12,0.0346,0.0865,2023-01-08,0.08230000000000001,48.75592417061612
Lavadora,20,0.2821,1.0,0.2821,7,0.1216,0.1216,2023-01-09,0.16050000000000003,56.89471818504077
Lavavajillas,20,0.2821,1.3,0.3668,15,0.1294,0.1682,2023-01-09,0.19860000000000003,54.14394765539804
Secadora,20,0.2821,2.0,0.5642,14,0.1403,0.2807,2023-01-09,0.28350000000000003,50.24813895781638
Termo eléctrico,20,0.2821,2.5,0.7053,0,0.0411,0.1027,2023-01-09,0.6026,85.43882036013044
Lavadora,20,0.2408,1.0,0.2408,23,0.1286,0.1286,2023-01-10,0.1122,46.59468438538206
Lavavajillas,20,0.2408,1.3,0.313,15,0.1572,0.2043,2023-01-10,0.10869999999999999,34.728434504792325
Secadora,20,0.2408,2.0,0.4816,14,0.1577,0.3153,2023-01-10,0.16629999999999995,34.53073089700996
Termo eléctrico,20,0.2408,2.5,0.602,3,0.1423,0.3558,2023-01-10,0.24619999999999997,40.897009966777404
Lavadora,20,0.2554,1.0,0.2554,15,0.1217,0.1217,2023-01-11,0.1337,52.34925606891151
Lavavajillas,20,0.2554,1.3,0.332,14,0.1259,0.1637,2023-01-11,0.1683,50.69277108433735
Secadora,20,0.2554,2.0,0.5108,16,0.1553,0.3107,2023-01-11,0.20010000000000006,39.17384494909946
Termo eléctrico,20,0.2554,2.5,0.6384,2,0.0404,0.1011,2023-01-11,0.5373,84.16353383458647
Lavadora,20,0.2624,1.0,0.2624,23,0.1242,0.1242,2023-01-12,0.13820000000000002,52.66768292682927
Lavavajillas,20,0.2624,1.3,0.3411,14,0.1292,0.168,2023-01-12,0.1731,50.74758135444151
Secadora,20,0.2624,2.0,0.5248,15,0.1294,0.2587,2023-01-12,0.26610000000000006,50.70503048780488
Termo eléctrico,20,0.2624,2.5,0.656,1,0.098,0.2449,2023-01-12,0.4111,62.66768292682927
Lavadora,20,0.2776,1.0,0.2776,7,0.1352,0.1352,2023-01-13,0.14240000000000003,51.296829971181566
Lavavajillas,20,0.2776,1.3,0.3609,14,0.1383,0.1798,2023-01-13,0.1811,50.180105292324754
Secadora,20,0.2776,2.0,0.5552,15,0.1407,0.2813,2023-01-13,0.27390000000000003,49.3335734870317
Termo eléctrico,20,0.2776,2.5,0.694,2,0.079,0.1976,2023-01-13,0.49639999999999995,71.52737752161383
Lavadora,20,0.0891,1.0,0.0891,15,0.066,0.066,2023-01-14,0.023099999999999996,25.92592592592592
Lavavajillas,20,0.0891,1.3,0.1159,23,0.0696,0.0905,2023-01-14,0.025400000000000006,21.91544434857636
Secadora,20,0.0891,2.0,0.1783,14,0.0705,0.1409,2023-01-14,0.03739999999999999,20.97588334268087
Termo eléctrico,20,0.0891,2.5,0.2228,11,0.0759,0.1898,2023-01-14,0.033,14.811490125673252
Lavadora,20,0.08,1.0,0.08,15,0.0369,0.0369,2023-01-15,0.0431,53.87499999999999
Lavavajillas,20,0.08,1.3,0.104,14,0.0434,0.0564,2023-01-15,0.047599999999999996,45.76923076923077
Secadora,20,0.08,2.0,0.16,13,0.0467,0.0933,2023-01-15,0.06670000000000001,41.68750000000001
Termo eléctrico,20,0.08,2.5,0.2,23,0.0461,0.1153,2023-01-15,0.08470000000000001,42.35
Lavadora,20,0.1324,1.0,0.1324,7,0.035,0.035,2023-01-16,0.09739999999999999,73.56495468277944
Lavavajillas,20,0.1324,1.3,0.1722,23,0.0513,0.0667,2023-01-16,0.1055,61.26596980255516
Secadora,20,0.1324,2.0,0.2649,14,0.0563,0.1125,2023-01-16,0.15240000000000004,57.53114382785958
Termo eléctrico,20,0.1324,2.5,0.3311,1,0.0265,0.0662,2023-01-16,0.2649,80.00604047115675
Lavadora,20,0.1128,1.0,0.1128,7,0.0276,0.0276,2023-01-17,0.0852,75.53191489361703
Lavavajillas,20,0.1128,1.3,0.1466,8,0.0501,0.0651,2023-01-17,0.0815,55.59345156889495
Secadora,20,0.1128,2.0,0.2255,9,0.0506,0.1011,2023-01-17,0.12440000000000001,55.166297117516635
Termo eléctrico,20,0.1128,2.5,0.2819,2,0.0256,0.064,2023-01-17,0.21789999999999998,77.29691379921958
Lavadora,20,0.2387,1.0,0.2387,7,0.0359,0.0359,2023-01-18,0.20279999999999998,84.96020108923335
Lavavajillas,20,0.2387,1.3,0.3103,14,0.05,0.0649,2023-01-18,0.2454,79.08475668707702
Secadora,20,0.2387,2.0,0.4774,15,0.05,0.1001,2023-01-18,0.37729999999999997,79.03225806451613
Termo eléctrico,20,0.2387,2.5,0.5968,1,0.0208,0.0521,2023-01-18,0.5447,91.27010723860589
Lavadora,20,0.1595,1.0,0.1595,14,0.0688,0.0688,2023-01-19,0.0907,56.86520376175549
Lavavajillas,20,0.1595,1.3,0.2074,15,0.0689,0.0896,2023-01-19,0.1178,56.79845708775313
Secadora,20,0.1595,2.0,0.319,16,0.0727,0.1453,2023-01-19,0.1737,54.45141065830721
Termo eléctrico,20,0.1595,2.5,0.3988,2,0.0558,0.1396,2023-01-19,0.2592,64.99498495486459
Lavadora,20,0.333,1.0,0.333,7,0.1101,0.1101,2023-01-20,0.22290000000000001,66.93693693693695
Lavavajillas,20,0.333,1.3,0.4329,14,0.1361,0.1769,2023-01-20,0.256,59.13605913605914
Secadora,20,0.333,2.0,0.666,15,0.1365,0.273,2023-01-20,0.393,59.009009009009006
Termo eléctrico,20,0.333,2.5,0.8325,2,0.0578,0.1444,2023-01-20,0.6881,82.65465465465466
Lavadora,20,0.156,1.0,0.156,15,0.0693,0.0693,2023-01-21,0.0867,55.57692307692308
Lavavajillas,20,0.156,1.3,0.2028,14,0.0714,0.0929,2023-01-21,0.10990000000000001,54.19132149901381
Secadora,20,0.156,2.0,0.312,13,0.0727,0.1455,2023-01-21,0.1665,53.36538461538461
Termo eléctrico,20,0.156,2.5,0.39,12,0.0741,0.1852,2023-01-21,0.2048,52.51282051282051
Lavadora,20,0.1754,1.0,0.1754,12,0.0418,0.0418,2023-01-22,0.1336,76.16875712656784
Lavavajillas,20,0.1754,1.3,0.2281,10,0.0424,0.0552,2023-01-22,0.1729,75.80008768084173
Secadora,20,0.1754,2.0,0.3509,11,0.044,0.0881,2023-01-22,0.2628,74.89313194642348
Termo eléctrico,20,0.1754,2.5,0.4386,14,0.0443,0.1108,2023-01-22,0.3278,74.73780209758321
Lavadora,20,0.2779,1.0,0.2779,7,0.1025,0.1025,2023-01-23,0.1754,63.11622885930191
Lavavajillas,20,0.2779,1.3,0.3613,14,0.1087,0.1413,2023-01-23,0.22,60.891226127871576
Secadora,20,0.2779,2.0,0.5558,15,0.1104,0.2208,2023-01-23,0.33499999999999996,60.27347966894566
Termo eléctrico,20,0.2779,2.5,0.6948,2,0.0764,0.1911,2023-01-23,0.5037,72.49568221070813
Lavadora,20,0.3547,1.0,0.3547,7,0.1174,0.1174,2023-01-24,0.2373,66.90160699182408
Lavavajillas,20,0.3547,1.3,0.4611,14,0.1221,0.1588,2023-01-24,0.3023,65.56061591845587
Secadora,20,0.3547,2.0,0.7094,15,0.1237,0.2474,2023-01-24,0.462,65.12545813363406
Termo eléctrico,20,0.3547,2.5,0.8868,2,0.0885,0.2213,2023-01-24,0.6655,75.04510599909787
Lavadora,20,0.3211,1.0,0.3211,14,0.1244,0.1244,2023-01-25,0.19669999999999999,61.25817502335721
Lavavajillas,20,0.3211,1.3,0.4175,16,0.1256,0.1633,2023-01-25,0.2542,60.88622754491018
Secadora,20,0.3211,2.0,0.6422,15,0.1259,0.2518,2023-01-25,0.39039999999999997,60.79103083151666
Termo eléctrico,20,0.3211,2.5,0.8028,4,0.1146,0.2866,2023-01-25,0.5162,64.29995017438964
Lavadora,20,0.2108,1.0,0.2108,7,0.1053,0.1053,2023-01-26,0.10549999999999998,50.04743833017077
Lavavajillas,20,0.2108,1.3,0.274,14,0.1073,0.1395,2023-01-26,0.1345,49.08759124087591
Secadora,20,0.2108,2.0,0.4216,15,0.1084,0.2168,2023-01-26,0.20479999999999998,48.57685009487666
Termo eléctrico,20,0.2108,2.5,0.527,4,0.0952,0.238,2023-01-26,0.28900000000000003,54.83870967741936
Lavadora,20,0.1878,1.0,0.1878,14,0.063,0.063,2023-01-27,0.1248,66.45367412140575
Lavavajillas,20,0.1878,1.3,0.2441,15,0.0662,0.0861,2023-01-27,0.15800000000000003,64.72757066775912
Secadora,20,0.1878,2.0,0.3755,16,0.0769,0.1538,2023-01-27,0.2217,59.041278295605856
Termo eléctrico,20,0.1878,2.5,0.4694,4,0.0608,0.1521,2023-01-27,0.31729999999999997,67.5969322539412
Lavadora,20,0.1087,1.0,0.1087,15,0.0371,0.0371,2023-01-28,0.0716,65.86936522539098
Lavavajillas,20,0.1087,1.3,0.1413,14,0.0392,0.0509,2023-01-28,0.09040000000000001,63.977353149327676
Secadora,20,0.1087,2.0,0.2174,13,0.0423,0.0846,2023-01-28,0.13280000000000003,61.0855565777369
Termo eléctrico,20,0.1087,2.5,0.2718,16,0.0464,0.1159,2023-01-28,0.15589999999999998,57.35835172921265
Lavadora,20,0.2259,1.0,0.2259,11,0.0666,0.0666,2023-01-29,0.1593,70.5179282868526
Lavavajillas,20,0.2259,1.3,0.2936,12,0.0676,0.0879,2023-01-29,0.20570000000000002,70.06130790190736
Secadora,20,0.2259,2.0,0.4518,13,0.0689,0.1379,2023-01-29,0.31389999999999996,69.47764497565294
Termo eléctrico,20,0.2259,2.5,0.5647,10,0.0699,0.1748,2023-01-29,0.38989999999999997,69.04551089073844
Lavadora,20,0.3142,1.0,0.3142,23,0.1795,0.1795,2023-01-30,0.1347,42.87078294080204
Lavavajillas,20,0.3142,1.3,0.4085,14,0.1855,0.2411,2023-01-30,0.16739999999999997,40.97919216646267
Secadora,20,0.3142,2.0,0.6284,15,0.1869,0.3738,2023-01-30,0.25459999999999994,40.515595162316984
Termo eléctrico,20,0.3142,2.5,0.7855,4,0.1408,0.352,2023-01-30,0.4335,55.18777848504137
Lavadora,20,0.3046,1.0,0.3046,14,0.1722,0.1722,2023-01-31,0.1324,43.46684175968483
Lavavajillas,20,0.3046,1.3,0.396,15,0.1723,0.2239,2023-01-31,0.17210000000000003,43.459595959595966
Secadora,20,0.3046,2.0,0.6092,16,0.174,0.348,2023-01-31,0.2612,42.875902823374915
Termo eléctrico,20,0.3046,2.5,0.7615,2,0.1454,0.3636,2023-01-31,0.3979,52.2521339461589
Lavadora,20,0.2971,1.0,0.2971,15,0.157,0.157,2023-02-01,0.14009999999999997,47.15583978458431
Lavavajillas,20,0.2971,1.3,0.3862,14,0.1581,0.2056,2023-02-01,0.18059999999999998,46.763335059554635
Secadora,20,0.2971,2.0,0.5942,16,0.1628,0.3256,2023-02-01,0.26859999999999995,45.2036351396836
Termo eléctrico,20,0.2971,2.5,0.7427,2,0.1438,0.3594,2023-02-01,0.38330000000000003,51.60899421031372
Lavadora,20,0.2833,1.0,0.2833,14,0.1874,0.1874,2023-02-02,0.09589999999999999,33.85104129897635
Lavavajillas,20,0.2833,1.3,0.3683,15,0.1883,0.2448,2023-02-02,0.12350000000000003,33.53244637523758
Secadora,20,0.2833,2.0,0.5666,16,0.1941,0.3882,2023-02-02,0.1784,31.486057183198024
Termo eléctrico,20,0.2833,2.5,0.7083,4,0.1604,0.4011,2023-02-02,0.30720000000000003,43.371452774248205
Lavadora,20,0.2957,1.0,0.2957,15,0.1869,0.1869,2023-02-03,0.10880000000000001,36.79404802164356
Lavavajillas,20,0.2957,1.3,0.3844,14,0.1901,0.2472,2023-02-03,0.13720000000000002,35.691987513007284
Secadora,20,0.2957,2.0,0.5914,16,0.1955,0.3911,2023-02-03,0.20030000000000003,33.868785931687526
Termo eléctrico,20,0.2957,2.5,0.7392,4,0.151,0.3774,2023-02-03,0.36179999999999995,48.94480519480519
Lavadora,20,0.1941,1.0,0.1941,15,0.1218,0.1218,2023-02-04,0.07229999999999999,37.24884080370942
Lavavajillas,20,0.1941,1.3,0.2523,14,0.1237,0.1608,2023-02-04,0.09150000000000003,36.266349583828784
Secadora,20,0.1941,2.0,0.3882,16,0.1248,0.2496,2023-02-04,0.1386,35.70324574961361
Termo eléctrico,20,0.1941,2.5,0.4852,13,0.1299,0.3247,2023-02-04,0.16050000000000003,33.079142621599345
Lavadora,20,0.1898,1.0,0.1898,15,0.0465,0.0465,2023-02-05,0.14329999999999998,75.50052687038988
Lavavajillas,20,0.1898,1.3,0.2467,14,0.0466,0.0606,2023-02-05,0.1861,75.43575192541549
Secadora,20,0.1898,2.0,0.3795,12,0.0472,0.0943,2023-02-05,0.2852,75.15151515151516
Termo eléctrico,20,0.1898,2.5,0.4744,11,0.0473,0.1181,2023-02-05,0.3563,75.10539629005059
Lavadora,20,0.3094,1.0,0.3094,7,0.1913,0.1913,2023-02-06,0.11810000000000001,38.170652876535236
Lavavajillas,20,0.3094,1.3,0.4022,14,0.2045,0.2659,2023-02-06,0.13629999999999998,33.888612630532066
Secadora,20,0.3094,2.0,0.6188,15,0.2047,0.4095,2023-02-06,0.20930000000000004,33.82352941176471
Termo eléctrico,20,0.3094,2.5,0.7735,4,0.1378,0.3444,2023-02-06,0.4291,55.47511312217195
Lavadora,20,0.2854,1.0,0.2854,14,0.1904,0.1904,2023-02-07,0.09499999999999997,33.286615276804476
Lavavajillas,20,0.2854,1.3,0.3711,23,0.1915,0.2489,2023-02-07,0.12219999999999998,32.92912961465911
